variant,n,MAE_kcal,MAPE_kcal,wMAPE_kcal,daily_kcal,MAE_protein,MAPE_protein,wMAPE_protein,daily_protein,MAE_fat,MAPE_fat,wMAPE_fat,daily_fat,MAE_carbs,MAPE_carbs,wMAPE_carbs,daily_carbs
gpt-4.1-mini + hint,300,81.21,50.14,32.23,17.71,6.06,53.2,33.65,20.99,5.61,66.29,42.38,25.9,6.86,57.36,38.56,20.22
gpt-4o,266,79.93,42.42,32.42,18.57,7.1,42.29,39.44,27.14,6.2,81.57,48.83,30.02,6.92,67.04,38.94,25.69
gemini-2.5-pro,301,83.84,43.18,32.98,18.71,6.41,38.88,35.15,23.06,6.49,105.04,48.72,31.2,6.89,48.76,38.44,22.73
V6 two-pass (4.1-mini),300,83.42,39.86,32.73,18.82,6.81,47.25,37.22,23.67,6.74,71.53,50.51,29.83,7.07,58.34,39.36,21.33
V7 multi-view (4.1-mini),301,87.39,53.44,34.38,19.77,6.82,59.08,37.4,24.39,6.8,125.05,51.04,29.48,6.64,53.4,37.04,21.76
claude-sonnet-4-6,300,87.52,53.15,34.58,20.83,7.11,57.63,39.34,24.66,6.24,114.84,46.98,26.71,9.34,79.83,52.18,40.62
gpt-4.1-mini,301,85.91,38.13,33.79,20.91,6.92,40.18,37.98,25.83,6.55,75.33,49.18,31.1,6.98,52.51,38.95,23.25
claude-haiku-4-5,301,104.72,76.31,41.2,25.32,8.76,87.08,48.04,31.79,7.37,354.67,55.35,34.58,11.33,136.84,63.22,47.0
gpt-4.1,301,89.05,35.64,35.03,27.41,7.26,35.37,39.82,32.3,6.5,53.75,48.78,37.46,5.92,44.25,33.03,18.67
gemini-2.5-flash,300,109.8,58.78,43.07,33.19,7.06,59.68,38.59,28.12,8.32,135.95,62.3,49.6,7.93,66.41,44.13,34.33
